,richness
945,2.299467016347662
946,2.1582901971834203
947,1.0986122886681098
948,2.464514066618386
949,2.696353169047911
950,2.429742150524482
951,2.8670360955720677
952,2.9840391742137267
953,2.338529314527077
954,2.6103287056838207
955,2.340273828678151
956,1.6916852286950297
957,2.6838161719821745
958,1.9338765049143014
959,2.191458009714731
960,2.104222602669387
961,1.624669088181572
962,1.5221017456738553
963,1.4170938019973613
964,2.831775222077477
965,2.612801371400234
966,2.473586442891771
967,2.936435454347636
968,2.347321334165855
969,2.7245135363675304
970,2.6586165042466194
971,2.6305085042208916
972,2.5750623758885585
973,2.22738212356361
974,3.419172975281362
975,1.333182027537337
976,3.279145722556869
977,3.2429129450357976
978,2.531988727276082
979,3.3281579660920957
980,2.5002937949643553
981,3.265534927912172
982,2.493795992929142
983,1.8085729620558493
984,1.7497683423108747
985,2.6232855791150542
986,1.8360110908990714
987,2.2388477045997317
988,2.202276576875884
989,1.5364822915144698
990,2.2112735363907348
991,2.1625246560970592
992,2.432547018618894
993,3.5463390054025004
994,2.491597920853743
995,1.9031643853029174
996,2.668180602164586
997,2.5684714021883583
998,1.8735870429300545
999,2.323049067494818
1000,2.5173941363541465
1001,1.8202608647138845
1002,1.7448638602166682
1003,2.1434141681302075
1004,3.893100096054738
1005,2.1532310373188897
1006,2.7442519724044154
1007,2.081345984348079
1008,2.388350319097709
1009,2.37877373568644
1010,1.3910974219090444
1011,3.341318569953969
1012,3.187563883594399
1013,2.9730436292745805
1014,2.6026639056015837
1015,2.045441359362919
1016,2.7125352507551543
1017,1.986021401716961
1018,2.105012175923954
1019,3.91854887971239
1020,2.1405514980861993
1021,1.9904371080655423
1022,2.494814399850866
1023,2.5445713069892317
1024,2.6576670665940347
1025,3.188202097479997
1026,1.6818013585721852
1027,3.0593360617665186
1028,3.300402878304423
1029,2.1917156966331155
1030,2.8799505830838537
1031,2.3514734741527876
1032,2.631109707384824
1033,2.563251320228878
1034,2.0028160741081686
1035,0.6067736260935065
1036,2.5596254512690497
1037,3.0416704760029294
1038,1.5553725439818775
1039,1.8031734176119323
1040,1.9202940434069016
1041,2.1635100841324237
1042,2.1759773497399513
1043,2.4295742379101517
1044,3.2244391496024947
1045,3.696006504218054
1046,2.364380797595771
1047,0.8365756593880858
1048,2.9068943669646754
1049,2.3458916579948297
1050,2.302127627244604
1051,2.509860820815765
1052,2.6266152716936326
1053,2.013976200103488
1054,1.958263242875661
1055,2.0317176199596347
1056,2.1232035090907595
1057,4.945453292029746
1058,2.053253984873485
1059,1.9002633621870733
1060,1.9676607951628524
1061,2.356346886166045
1062,2.0362067390767336
1063,2.217866077388896
1064,3.8394404544288805
1065,1.9155922462842045
1066,1.700739579655937
1067,2.968493210233736
1068,2.603780897926398
1069,2.173366153516739
1070,2.84214013817597
1071,2.227228107956728
1072,1.7585588486525474
1073,2.02925786847634
1074,1.9512850302590803
1075,0.8517284682522215
1076,2.7201970272633895
1077,1.882262562508903
1078,2.08264559777093
1079,2.528048274744632
1080,1.9604583434764256
1081,2.545462316050979
1082,2.3164487051971743
1083,2.596076879977008
1084,2.2213485382418416
1085,2.715997838443415
1086,2.2114178405744336
1087,2.645548823715975
1088,2.5151505995494152
1089,1.3576964133612643
1090,2.4814237220776416
1091,3.030831470171711
1092,2.0528144054573265
1093,2.2804458213223646
1094,1.5579482313527635
1095,2.2336477914708057
1096,3.3837586196810516
1097,2.672203408770837
1098,2.343221731077336
1099,2.3689533449199596
1100,2.4139587115038
1101,1.6869108065628788
1102,2.3636811933765105
1103,2.5555906199370018
1104,2.4082746160862327
1105,2.2203425758547013
1106,3.223293418276286
1107,2.4606330511380166
1108,2.0612474929274103
1109,3.1428350869452317
1110,4.401495056409746
1111,3.094953215874798
1112,2.34597555442308
1113,1.9126547417289348
1114,2.3239966825728153
1115,2.8009128972483825
1116,2.254664237521376
1117,2.0077980958058865
1118,2.632147657858493
1119,2.358195223982627
1120,2.209753560809717
1121,2.6995208357963807
1122,2.744952196527337
1123,1.1091851314366978
1124,2.376522493174417
1125,2.3881896197367056
1126,2.4322088753157076
1127,3.0448617760917394
1128,3.0940268316966684
1129,2.7484604014254943
1130,2.450368200979463
1131,2.4125661009333355
1132,2.953668877695582
1133,2.7450979420054584
1134,2.098221985744995
1135,1.4944048294647905
1136,2.179689480062745
1137,2.2806116476561
1138,3.6532267240531646
1139,3.089904124334245
1140,2.495206414965874
1141,3.0493058826423494
1142,1.1787576142955514
1143,2.2518837573607287
1144,2.895547617593589
1145,3.012311743864505
1146,2.4828471880592797
1147,3.037204422178102
1148,1.9233340399452736
1149,2.0516937285641577
1150,2.6309494713156663
1151,3.1732587671404118
1152,2.0715999573069044
1153,2.8172650143107525
1154,2.4716365784355525
1155,2.6260123742608767
1156,1.7417290468112998
1157,2.309312985992276
1158,2.3136336301292486
1159,2.002712858357616
1160,2.489411067238358
1161,2.4488535576237664
1162,2.319738473398228
1163,2.497306268228414
1164,2.285458069424747
1165,3.4005407251991904
1166,2.4511622550746375
1167,1.3111752795023266
1168,2.488595671219337
1169,2.75881872262769
1170,2.507591961386386
1171,1.9791125830901095
1172,2.5130147711570254
1173,2.7592831761139713
1174,2.406784398695212
1175,1.736853208666211
1176,1.972260333596219
1177,1.9035773880232438
1178,2.2188604153074634
1179,1.9579569894697664
1180,2.1823620746006145
1181,2.3089377529909174
1182,2.2204000893802127
1183,1.3521548452923324
1184,2.5505520762508214
1185,2.03407988660002
1186,2.801513254092126
1187,2.5192410987992755
1188,2.356879541662659
1189,1.091435253701754
1190,2.9253483850689155
1191,2.1230046016375383
1192,2.272910835694362
1193,1.7969797669040513
1194,2.3951581102858874
1195,2.940311568170478
1196,1.9098921819318784
1197,1.99481969433701
1198,1.8152284133465266
1199,1.5194402325078735
1200,2.941642875881217
1201,1.6884638816677988
1202,1.849143071702145
1203,2.206923812794135
1204,2.0071996633303133
1205,2.127705194669688
1206,2.9325648982422905
1207,2.7371330646504157
1208,1.945713264589333
1209,2.618096812129439
1210,1.7964249986091472
1211,2.509730275399843
1212,1.981618260029666
1213,3.0911494345620003
1214,1.6345642700096816
1215,2.423969429714527
1216,2.213361950566765
1217,2.6104744936977102
1218,2.4342108185449383
1219,2.6424516921897334
1220,2.534290823101383
1221,2.310169543088253
1222,2.12422471908657
1223,2.0907964642336254
1224,2.339769052423455
1225,2.6225904181492865
1226,2.4312718822757247
1227,1.987355504391384
1228,2.5611796472588764
1229,3.010026248644125
1230,1.7194499393612666
1231,2.158726759665771
1232,2.8026889067439766
1233,2.1550243554760273
1234,2.407762691621879
1235,2.095439126283343
1236,2.6172045007180142
1237,3.854053924783374
1238,2.3245509329497307
1239,2.483487769898867
1240,1.8982105920452776
1241,2.6111203196618633
1242,2.600307507191177
1243,2.4161956416685446
1244,3.372701305787972
1245,2.1850242859161715
1246,2.170540311123748
1247,3.0702551441434305
1248,1.788547871021653
1249,2.1208247891931418
1250,3.1433869752292716
1251,3.821495151803319
1252,3.038844014609902
1253,2.4050309849002307
1254,2.5737084064426217
1255,2.1680640427613236
1256,2.802011235627611
1257,2.7516941056495883
1258,1.701919756431652
1259,2.19795746702538
1260,2.3242660796066414
1261,1.6897264711255675
1262,2.997560785282963
1263,1.2737493372528805
1264,1.7603420952532305
1265,2.4791957722779876
1266,2.857192252316515
1267,2.554614499846704
1268,2.201587985007428
1269,1.6636059605159588
1270,3.181531225284571
1271,2.3627294756853274
1272,2.035215108252915
1273,1.8392244649505551
1274,2.1689423625504873
1275,2.786529130968683
1276,2.0513918272605234
1277,2.603727405354673
1278,3.814276475141271
1279,1.556538073793367
1280,3.0386736209605476
1281,1.926134175221745
1282,2.155523344107121
1283,1.9830020356166396
1284,2.23512786868399
1285,1.8740419616603914
1286,2.581575000876438
1287,2.583430041785533
1288,2.541920260479927
1289,0.5012990376154067
1290,2.931568567148897
1291,2.605157737418799
1292,2.451202730959884
